0 : 0 - swing: 0 test: -22
3 : 0 - swing: 0 test: -22
1 : 0 - swing: 0 test: -22
2 : 0 - swing: 0 test: -22
4 : 0 - swing: 7 test: -22
18 : 0 - swing: 12 test: -22
23 : 0 - swing: 3 test: -22
5 : 0 - swing: 7 test: -22
24 : 0 - swing: 10 test: -22
8 : 0 - swing: 35 test: -22
30 : 0 - swing: -24 test: -22
31 : 0 - swing: -24 test: -22
13 : 0 - swing: 26 test: -22
6 : 0 - swing: 7 test: -22
25 : 0 - swing: 10 test: -22
19 : 0 - swing: 12 test: -22
9 : 0 - swing: 35 test: -22
28 : 0 - swing: -24 test: -22
14 : 0 - swing: 26 test: -22
7 : 0 - swing: 7 test: -22
26 : 0 - swing: 10 test: -22
16 : 0 - swing: 12 test: -22
10 : 0 - swing: 35 test: -22
20 : 0 - swing: 3 test: -22
27 : 0 - swing: 10 test: -22
17 : 0 - swing: 12 test: -22
11 : 0 - swing: 35 test: -22
29 : 0 - swing: -24 test: -22
15 : 0 - swing: 26 test: -22
21 : 0 - swing: 3 test: -22
12 : 0 - swing: 26 test: -22
22 : 0 - swing: 3 test: -22
