0 : 0 - swing: 17 test: 21
1 : 0 - swing: 17 test: 21
2 : 0 - swing: 17 test: 21
3 : 0 - swing: 17 test: 21
20 : 0 - swing: -27 test: 21
24 : 0 - swing: 12 test: 21
4 : 0 - swing: 50 test: 21
29 : 0 - swing: 3 test: 21
8 : 0 - swing: 36 test: 21
17 : 0 - swing: -9 test: 21
12 : 0 - swing: -44 test: 21
21 : 0 - swing: -27 test: 21
25 : 0 - swing: 12 test: 21
5 : 0 - swing: 50 test: 21
30 : 0 - swing: 3 test: 21
9 : 0 - swing: 36 test: 21
18 : 0 - swing: -9 test: 21
13 : 0 - swing: -44 test: 21
22 : 0 - swing: -27 test: 21
26 : 0 - swing: 12 test: 21
6 : 0 - swing: 50 test: 21
31 : 0 - swing: 3 test: 21
10 : 0 - swing: 36 test: 21
19 : 0 - swing: -9 test: 21
14 : 0 - swing: -44 test: 21
23 : 0 - swing: -27 test: 21
27 : 0 - swing: 12 test: 21
7 : 0 - swing: 50 test: 21
28 : 0 - swing: 3 test: 21
11 : 0 - swing: 36 test: 21
16 : 0 - swing: -9 test: 21
15 : 0 - swing: -44 test: 21
